timestamp,x,y,fix_quality,satellite_count,deviation_to_plan
2025-04-25T16:49:14.276419,3.00,15.00,,,3.000
2025-04-25T16:49:14.632461,2.00,15.00,,,2.000
2025-04-25T16:49:14.991085,1.00,15.00,,,1.000
2025-04-25T16:49:15.355117,0.20,15.00,,,0.200
2025-04-25T16:49:15.782505,0.00,15.00,,,0.000
2025-04-25T16:49:18.669556,0.00,15.00,,,0.000
2025-04-25T16:49:20.217871,-0.00,14.00,,,1.000
2025-04-25T16:49:20.742057,-0.00,13.00,,,2.000
2025-04-25T16:49:21.583308,-0.00,12.00,,,2.000
2025-04-25T16:49:22.673224,-0.00,11.00,,,1.000
2025-04-25T16:49:23.088504,-0.00,10.20,,,0.200
2025-04-25T16:49:23.230635,0.00,10.00,,,0.000
2025-04-25T16:49:24.484092,0.00,10.00,,,0.000
2025-04-25T16:49:24.863870,1.00,10.00,,,1.000
2025-04-25T16:49:24.883840,2.00,10.00,,,2.000
2025-04-25T16:49:24.907738,3.00,10.00,,,3.000
2025-04-25T16:49:25.046569,4.00,10.00,,,4.000
2025-04-25T16:49:25.070641,5.00,10.00,,,5.000
2025-04-25T16:49:25.209936,6.00,10.00,,,4.000
2025-04-25T16:49:25.344625,7.00,10.00,,,3.000
2025-04-25T16:49:25.596859,8.00,10.00,,,2.000
2025-04-25T16:49:25.944844,9.00,10.00,,,1.000
2025-04-25T16:49:26.208194,9.80,10.00,,,0.200
2025-04-25T16:49:26.560225,10.00,10.00,,,0.000
2025-04-25T16:49:26.910573,11.00,10.00,,,1.000
2025-04-25T16:49:27.256795,12.00,10.00,,,2.000
2025-04-25T16:49:27.595107,13.00,10.00,,,3.000
2025-04-25T16:49:27.925540,14.00,10.00,,,4.000
2025-04-25T16:49:28.295005,15.00,10.00,,,5.000
2025-04-25T16:49:28.628152,16.00,10.00,,,4.000
2025-04-25T16:49:28.993739,17.00,10.00,,,3.000
2025-04-25T16:49:29.374043,18.00,10.00,,,2.000
2025-04-25T16:49:29.711431,19.00,10.00,,,1.000
2025-04-25T16:49:30.060541,19.80,10.00,,,0.200
2025-04-25T16:49:30.426742,20.00,10.00,,,0.000
2025-04-25T16:49:30.790826,21.00,10.00,,,1.000
2025-04-25T16:49:31.123694,22.00,10.00,,,2.000
2025-04-25T16:49:31.488200,23.00,10.00,,,3.000
2025-04-25T16:49:31.896563,24.00,10.00,,,4.000
2025-04-25T16:49:32.305776,25.00,10.00,,,5.000
2025-04-25T16:49:32.657455,26.00,10.00,,,4.000
2025-04-25T16:49:33.021519,27.00,10.00,,,3.000
2025-04-25T16:49:33.401977,28.00,10.00,,,2.000
2025-04-25T16:49:33.941726,29.00,10.00,,,1.000
2025-04-25T16:49:34.413399,29.80,10.00,,,0.200
2025-04-25T16:49:34.815292,30.00,10.00,,,0.000
2025-04-25T16:49:35.200513,31.00,10.00,,,1.000
2025-04-25T16:49:35.538541,32.00,10.00,,,2.000
2025-04-25T16:49:35.889136,33.00,10.00,,,3.000
